feature,importance
f0_m_GA_Del,21.337236498611354
f0_m_plac_wt,18.900268230392566
f0_f_bmi_ini,5.072533224530367
f0_f_head_cir_ini,5.06933311077844
Placental_Efficiency_Proxy,4.841039363789837
f0_m_b12_v2,4.4319075192726824
f0_f_ht_ini,4.340524027771958
f0_m_age,4.002216232962315
f0_m_fer_v2,3.913765779637215
f0_m_ht,3.824200518921656
f0_m_bmi_prepreg,3.767973381663374
f0_m_hb_v2,3.682134143418674
f0_m_wt_prepreg,3.5214504149481334
Genetic_Volume,3.407392728684363
f0_m_hb_v1,3.357747921736226
f0_m_fer_v1,3.2704633983082094
f0_m_b12_v1,3.2598135045726173
