iter	Passed	Remaining
0	67	67007
1	65	32603
2	69	22931
3	71	17883
4	74	14837
5	78	12966
6	81	11574
7	84	10481
8	87	9634
9	90	8963
10	94	8510
11	98	8086
12	101	7670
13	104	7352
14	107	7050
15	111	6842
16	114	6623
17	117	6400
18	120	6197
19	123	6049
20	126	5900
21	129	5774
22	132	5645
23	136	5530
2424	143	5582525	147	5512626	150	5422727	153	5332828	157	5252929	159	5173030	163	5123131	166	5043232	169	4983333	173	4913434	176	4853535	179	4803636	182	4753737	185	4703838	190	4693939	193	4654040	196	4604141	200	4564242	203	4534343	206	4484444	209	4444545	212	4414646	215	4374747	219	4354848	222	43149	220	4195
50	224	4178
51	227	4147
52	231	4130
53	234	4102
54	237	4081
55	241	4064
56	244	4040
57	247	4022
58	251	4009
59	254	3994
60	257	3968
61	261	3953
62	264	3937
63	267	3915
64	271	3901
65	274	3877
66	277	3861
67	280	3844
68	283	3824
69	286	3804
70	289	3792
71	292	3773
72	295	3751
73	298	3734
74	301	3716
75	304	3706
76	308	3692
77	310	3673
78	313	3655
79	316	3640
80	319	3627
81	322	3611
82	325	3598
83	329	3588
84	332	3577
85	335	3565
86	338	3553
87	341	3538
88	344	3529
89	347	3515
90	350	3505
9191	358	35392	357	3483
93	361	3480
94	364	3468
95	367	3457
96	370	3447
97	373	3434
98	376	3427
99	380	3420
100	383	3410
101	386	3402
102	389	3391
103	393	3387
104	395	3374
105	398	3364
106	402	3356
107	406	3355
108	409	3349
109	412	3338
11110	421	33711111	424	33611112	428	33611113	431	33511114	437	3363
115	440	3357
116	444	3352
117	447	3345
118	450	3336
119	454	3333
120	458	3327
121	462	3326
122	465	3316
123	467	3304
124	471	3297
125	474	32812126	477	32812127	480	32712128	484	32612129	487	32513130	490	32513131	493	32413132	496	32313133	499	32213134	502	32113135	505	32113136	509	32013137	512	31913138	514	31813139	517	318140	516	3148
141	519	3141
142	523	3135
143	526	3128
144	529	3122
145	532	3113
146	535	3105
14147	543	312148	541	3092
149	545	3088
15150	551	31015151	554	30915152	558	30915153	561	30815154	563	30715155	567	30615156	570	30615157	573	30515158	576	30515159	579	304160	577	3010
161	580	3004
162	583	2998
163	587	2992
164	590	2986
165	593	2982
16166	601	30016167	605	29916168	608	29916169	611	29817170	615	29817171	618	29717172	621	29717173	625	29617174	628	29617175	631	29517176	635	29517177	639	29517178	642	29417179	646	2945
180	649	29318181	653	29318182	656	29318183	659	29218184	662	29118185	665	29118186	668	29018187	672	29018188	675	28918189	676	288190	676	2864
191	680	2862
192	684	2861
193	688	2858
194	692	2856
195	695	2852
196	698	2847
197	702	2844
198	705	2839
199	708	2833
200	711	2826
201	713	2819
202	716	2813
203	719	2807
204	722	2802
20205	729	28120206	732	28020207	736	28020208	739	279209	737	2776
