feature,mean_abs_shap
f0_m_GA_Del,153.46562
f0_m_plac_wt,125.06745
f0_m_fundal_ht_v2,37.307735
f0_m_abd_cir_v2,27.260174
f0_m_g_sc_v2,12.284259
f0_m_glu_f_v2,11.41289
f0_m_pulse_r1_v2,10.575135
f0_f_plt_ini,9.457015
f0_f_head_cir_ini,7.7368345
f0_m_parity_v1,7.5832553
f0_m_r4_v2,6.92188
f0_m_rcf_v2,6.7180204
f0_m_g_sc_v1,6.611662
f0_m_wt_prepreg,5.7010126
f0_m_l_sc_v1,5.672359
f0_m_waist_circ_v1,5.5678487
f0_m_wt_v2,4.7801476
f0_m_h_sc_v2,4.765051
f0_m_o1_sc_v1,4.644477
f0_m_plt_v1,4.6262865
f0_m_lunch_fat_v2,4.5854883
f0_m_rotis_fat_v1,4.484728
f0_m_iron_fve_v1,4.412217
f0_m_fer_v2,4.354427
f0_f_ferr_ini,4.2517953
f0_m_h7_sc_v1,4.077113
f0_m_cal_ch_v2,3.8972714
f0_m_j7_sc_v2,3.819047
f0_m_d3_sc_v2,3.777043
f0_f_ly_perc_ini,3.7743692
f0_m_dinner_fat_v1,3.7098272
f0_m_f_sc_v2,3.7061586
f0_m_k2_sc_v2,3.6660557
f0_m_b12_v1,3.5875819
f0_m_pulse_r2_v2,3.587403
f0_m_e4_sc_v2,3.4310918
f0_m_wbc_v1,3.363874
f0_m_i6_sc_v1,3.335831
f0_m_pulse_r1_v1,3.3041759
f0_m_cal_bev_v1,3.2524443
f0_m_f7_sc_v1,3.1923213
f0_m_ch_sc_v2,3.0183263
f0_m_i4_sc_v2,3.012336
f0_m_dia_bp_r1_v2,2.9575334
f0_f_wt_ini,2.943483
f0_m_f0_m_fundal_ht_v1,2.8884428
f0_f_vitB12_ini,2.830185
f0_m_m4_sc_v2,2.8004494
f0_m_dinner_cal_v1,2.7804098
f0_m_rbc_v1,2.7603557
f0_m_b12_v2,2.7464585
f0_f_pfol_ini,2.693227
f0_m_f10_sc_v1,2.636741
f0_m_GA_V1,2.6342492
f0_m_brk_fst_fat_v1,2.597615
f0_m_p4_sc_v2,2.5646725
f0_m_citrus_sc_v2,2.5586069
f0_f_rbc_ini,2.5387158
f0_m_pro_ch_v1,2.5024962
f0_m_ly_no_v2,2.493728
f0_m_sys_bp_r1_v1,2.4924853
f0_m_rotis_fat_v2,2.452449
f0_m_cal_pul_v2,2.4490688
f0_f_hct_ini,2.4484792
f0_m_lunch_cal_v1,2.4295187
f0_m_rotis_cal_v1,2.3727696
f0_m_fnot6_9_v1,2.293772
f0_m_totpro_v1,2.230309
row_index.1,2.223217
f0_m_dia_bp_r2_v1,2.1987572
f0_m_fat_pul_v1,2.19557
f0_m_su_v2,2.1788158
f0_m_iron_pul_v1,2.1511312
f0_m_bmi_v2,2.132356
f0_m_k_sc_v2,2.0968475
f0_m_o_sc_v1,2.0648422
f0_m_lunch_iron_v1,2.0611818
f0_m_m_sc_v2,2.0558352
f0_m_ht,2.0318465
f0_m_tr_v2,2.031588
f0_m_a_sc_v1,2.0259333
f0_m_h2_sc_v2,2.0059996
f0_m_sys_bp_r2_v1,2.0043528
f0_m_hct_v1,1.9801637
f0_m_p_sc_v1,1.9607174
f0_m_brk_fst_iron_v2,1.9595867
f0_m_j_sc_v2,1.956162
f0_m_p4_sc_v1,1.9551547
f0_m_d5_sc_v1,1.9340246
f0_m_cal_bev_v2,1.8382986
f0_tape_rec,1.8264502
f0_house_type,1.8157943
f0_m_pro_pul_v2,1.8065373
f0_f_ht_ini,1.774731
f0_m_age_eld_child,1.7476419
f0_m_dinner_pro_v1,1.7030689
f0_m_citrus_sc_v1,1.6715691
f0_m_dal_sc_v1,1.668974
f0_m_brk_fst_cal_v2,1.668679
f0_m_f4_sc_v2,1.6632609
f0_m_cal_fveg_v1,1.6276028
f0_m_cal_cer_v1,1.6205761
f0_m_e5_sc_v2,1.6133038
f0_m_abd_cir_v1,1.5569277
f0_m_p7_sc_v2,1.5455472
f0_m_n2_sc_v1,1.5445216
f0_m_totiron_v1,1.5417031
f0_m_ch_sc_v1,1.5393382
f0_f_bmi_ini,1.5358725
f0_m_fnot6_9_v2,1.5346004
f0_m_f_sc_v1,1.5146159
f0_m_lunch_cal_v2,1.507616
f0_m_ss_v1,1.5066936
f0_m_j7_sc_v1,1.4894929
f0_f_bmi_6yrs,1.4522355
f0_m_mid_arm_circ_v2,1.4356735
f0_electricity,1.4303057
f0_m_n5_sc_v2,1.4259365
f0_m_g7_sc_v1,1.4077966
f0_m_totcarb_v2,1.4043896
f0_m_p5_sc_v2,1.3972036
f0_m_ly_no_v1,1.384172
f0_m_d_sc_v2,1.3615168
f0_m_fat_fru_v2,1.3532898
f0_m_calcarb_v2,1.3470025
f0_m_q_sc_v2,1.3294786
f0_m_c_sc_v1,1.3249156
f0_m_j13_sc_v2,1.3012666
f0_m_wbc_v2,1.2911103
f0_m_dinner_fat_v2,1.2848687
f0_m_brk_fst_cal_v1,1.2840976
f0_m_int_men_marr,1.2832656
f0_m_b_sc_v2,1.2823663
