variable,combined_score,num_methods
f0_m_GA_Del,90.75582376254592,5
f0_m_plac_wt,52.32099003207876,5
f0_m_abd_cir_v2,18.865794870322684,5
f0_m_wt_v2,15.494222533774671,5
f0_m_fundal_ht_v2,12.189605196540167,5
f0_m_hip_circ_v2,7.872857079315371,5
f0_m_rcf_v2,7.567674228301991,5
f0_m_ht,7.165084632302003,5
f0_m_bmi_v2,6.574523032876149,5
f0_m_wt_prepreg,5.948720444803561,5
f0_m_snacks_sc_v1,5.642378650051394,5
f0_m_waist_circ_v2,5.6161095007038435,5
f0_m_j8_sc_v1,4.873250125544756,5
f0_m_f10_sc_v1,4.52037002249325,5
f0_m_bmi_6yr,4.358027310869453,5
f0_m_age,4.162310339916758,5
f0_m_m2_sc_v1,4.106972395569992,5
f0_m_n_sc_v1,3.8825380906274467,5
f0_m_g1_sc_v2,3.8656845317322945,5
f0_m_o_sc_v1,3.8610027102253532,5
f0_m_g_sc_v2,3.851168203072073,5
f0_f_wt_ini,3.628382632285033,5
f0_m_glv_sc_v,3.2534335383891912,5
f0_m_p10_sc_v1,3.007288070345637,5
f0_m_d1_sc_v1,3.0031023934758023,5
f0_m_n4_n5_n6_sc_v1,2.981413822105963,5
f0_m_int_sin_ma,2.9708673847292304,5
f0_m_h6_sc_v2,2.9638166980201603,5
f0_m_p_sc_v1,2.952653241294223,5
f0_m_bi_v1,2.943006954383233,5
f0_m_wt_v1,2.934792126709395,5
f0_m_snacks_sc_v2,2.69687484892954,5
f0_m_pulse_r2_v2,2.6641268016152866,5
f0_m_dairy_sc_v1,2.631235324260976,5
f0_m_c_sc_v1,2.5604861014741642,5
f0_m_j15_sc_v2,2.454210150433078,5
f0_m_abd_cir_v1,2.437179960647105,5
f0_m_i_sc_v2,2.366481029294205,5
f0_m_glv_sc_v1,2.2760716337063394,5
f0_m_n1_v2_n3_sc_v1,2.2211497646517757,5
f0_m_m_sc_v1,2.1902774010431107,5
f0_m_g2_sc_v2,2.178737595115809,5
f0_m_j4_sc_v1,2.1432939499806416,5
f0_m_s1_v2,2.1374928676202956,5
f0_m_o9_sc_v1,2.0945666949711663,5
f0_m_o1_sc_v1,2.0899025222727183,5
f0_m_pro_pul_v1,2.0881307157182762,5
f0_m_o3_sc_v1,2.030989009896949,5
f0_f_bmi_ini,2.0128946698015935,5
f0_m_d1_sc_v2,2.005763357610292,5
f0_m_r8_v2,2.002701161840781,5
f0_m_spicy_rice_sc_v1,1.9850940103882908,5
f0_m_l_sc_v1,1.9681267382531114,5
f0_m_pulse_r1_v2,1.9231992386463737,5
f0_m_g_sc_v1,1.9167516995668055,5
f0_m_cal_pul_v1,1.8746338428734348,5
f0_m_fnot6_9_v2,1.8739240057584876,5
f0_m_waist_prepreg,1.8665036760295899,5
f0_m_p_sc_v2,1.8477735823247403,5
f0_m_glu_f_v2,1.8464796879332468,5
f0_m_f22_sc_v1,1.8332773105514704,5
f0_m_n2_sc_v1,1.8288643954720178,5
f0_m_fer_v2,1.8286991328060787,5
f0_f_hip_cir_ini,1.8165373630886037,5
f0_m_q7_sc_v1,1.8023065314909228,5
f0_m_g5_sc_v2,1.7981495663992741,5
f0_m_a3_sc_v2,1.7812486529709222,5
f0_m_n_sc_v2,1.780659083184386,5
f0_m_j_sc_v2,1.7719283668864123,5
f0_m_p2_sc_v1,1.6977476308886885,5
f0_f_ht_ini,1.6937451335242422,5
f0_m_s3_v2,1.680585828448061,5
f0_m_o8_sc_v1,1.670955199810649,5
f0_m_s2_v2,1.654955951971149,5
f0_f_waist_circ_ini,1.634624652314578,5
f0_m_p14_sc_v2,1.5757876912741469,5
f0_m_c1_sc_v1,1.5723348124144692,5
f0_m_i6_sc_v1,1.5633967555217942,5
f0_m_n10_sc_v2,1.561749456348317,5
f0_m_mid_arm_circ_v2,1.5608558172928446,5
f0_m_i3_sc_v2,1.554354980125972,5
f0_m_p12_sc_v1,1.5393861589328033,5
f0_m_j7_sc_v2,1.516896188294928,5
f0_m_b3_sc_v1,1.4926620949809049,5
f0_m_j_sc_v1,1.4908033973225723,5
f0_m_f_sc_v2,1.4831245995122033,5
f0_m_j10_sc_v2,1.4341713814399197,5
f0_m_age_eld_child,1.4249696057403498,5
f0_m_f0_m_fundal_ht_v1,1.4195811855518188,5
f0_m_i9_sc_v2,1.4109040736480918,5
f0_m_n4_sc_v1,1.4066083101897195,5
f0_m_p6_sc_v2,1.398544542819943,5
f0_m_j8_sc_v2,1.3902421761709436,5
f0_m_iron_pul_v1,1.3891351403206786,5
f0_m_r9_v2,1.3881094759527475,5
f0_m_b5_sc_v1,1.34754391612219,5
f0_m_d_sc_v1,1.340618748074823,5
f0_m_n3_sc_v1,1.316390079955119,5
f0_m_cal_fes_v1,1.3159646296941696,5
f0_m_cal_fru_v1,1.3152193936346657,5
f0_m_r4_v2,1.3145673476324435,5
f0_m_calfat_v1,1.3100938097179031,5
f0_m_edu,1.3070675611301585,5
f0_m_f4_sc_v2,1.2828212053792873,5
f0_m_f_sc_v1,1.2649244343836707,5
f0_m_m5_sc_v1,1.2641144096536214,5
f0_m_f2_sc_v2,1.2549808816156056,5
f0_f_edu,1.2526162492707869,5
f0_m_fat_fveg_v1,1.2380349134270185,5
f0_m_j19_sc_v1,1.2365181622329042,5
f0_m_j9_sc_v2,1.2191227589535618,5
f0_m_l1_sc_v1,1.212831360134972,5
f0_m_f6_f9_sc_v1,1.210998939750993,5
f0_m_m3_sc_v1,1.2001533609257788,5
f0_m_p13_sc_v1,1.1926076977822462,5
f0_m_f7_sc_v1,1.1922641628369504,5
f0_f_bmi_6yrs,1.1786775348558032,5
f0_m_dairy_sc_v2,1.1688159651338021,5
f0_m_g5_sc_v1,1.1682182361848494,5
f0_m_g1_sc_v1,1.1670228841748638,5
f0_m_n5_sc_v1,1.1662018240762877,5
f0_m_o_sc_v2,1.1634917343039328,5
f0_m_l3_sc_v2,1.155084217010477,5
f0_m_hip_prepreg,1.1342715710967355,5
f0_m_q2_sc_v2,1.1309396997194299,5
f0_m_a2_sc_v1,1.127577410730919,5
f0_m_p9_sc_v1,1.105271333101968,5
f0_m_c3_sc_v1,1.1049708622676717,5
f0_m_j30_sc_v2,1.0898470549136536,5
f0_m_o8_sc_v2,1.0846064936192374,5
f0_m_m5_sc_v2,1.0827166198299547,5
f0_m_g8_sc_v2,1.079372278335359,5
f0_m_p7_sc_v1,1.0730861791341926,5
