Variable,Domain,Type,Unit
Unnamed: 0,Uncategorized,Continuous,count/score
row_index,Uncategorized,Continuous,count/score
f0_contra_pre,Uncategorized,Categorical,count/score
f0_occ_hou_head,Maternal_socio_demographic,Categorical,count/score
f0_caste_fly,Maternal_socio_demographic,Categorical,count/score
f0_edu_hou_head,Maternal_socio_demographic,Categorical,count/score
f0_type_fly,Household_environment,Categorical,count/score
f0_fly_size,Household_environment,Categorical,count/score
f0_dist_feat,Uncategorized,Categorical,count/score
f0_frm_power,Uncategorized,Categorical,count/score
f0_milch_ani,Uncategorized,Categorical,count/score
f0_fly_lnd_own,Uncategorized,Categorical,count/score
f0_bull_cart,Uncategorized,Categorical,count/score
f0_cycle,Uncategorized,Categorical,count/score
f0_tape_rec,Uncategorized,Categorical,count/score
f0_electricity,Uncategorized,Categorical,count/score
f0_two_wheeler,Uncategorized,Categorical,count/score
f0_iron_well,Uncategorized,Categorical,count/score
f0_house_type,Household_environment,Categorical,count/score
f0_m_hyp_preg,Uncategorized,Categorical,count/score
f0_m_hyp_non_preg,Uncategorized,Categorical,count/score
f0_m_diab,Uncategorized,Categorical,count/score
f0_m_tuber,Uncategorized,Categorical,count/score
f0_m_hrt_dis,Uncategorized,Categorical,count/score
f0_m_renal_dis,Uncategorized,Categorical,count/score
f0_m_anae,Uncategorized,Categorical,count/score
f0_m_othr_dis,Uncategorized,Categorical,count/score
f0_m_smoke,Uncategorized,Categorical,count/score
f0_m_tobacco,Uncategorized,Categorical,count/score
f0_m_chw_betal_nut,Uncategorized,Categorical,count/score
f0_m_alcohol,Uncategorized,Categorical,count/score
f0_reg_smk_hous,Uncategorized,Categorical,count/score
f0_m_gravida_v1,Uncategorized,Categorical,count/score
f0_m_parity_v1,Uncategorized,Categorical,count/score
f0_m_abor_v1,Uncategorized,Categorical,count/score
f0_m_mtp_v1,Uncategorized,Categorical,count/score
f0_m_liv_male_v1,Uncategorized,Categorical,count/score
f0_m_liv_female_v1,Uncategorized,Categorical,count/score
f0_m_still_birth_v1,Uncategorized,Categorical,count/score
f0_m_neo_death_v1,Uncategorized,Categorical,count/score
f0_m_preterm_del_v1,Uncategorized,Categorical,count/score
f0_m_vomit_v1,Uncategorized,Categorical,count/score
f0_m_diarr_v1,Uncategorized,Categorical,count/score
f0_m_fever_v1,Uncategorized,Categorical,count/score
f0_m_jaun_v1,Uncategorized,Categorical,count/score
f0_m_bleed_per_vag_v1,Uncategorized,Categorical,count/score
f0_m_no_of_epi_v1,Uncategorized,Categorical,count/score
f0_m_othr_hist_v1,Uncategorized,Categorical,count/score
f0_m_curr_med_v1,Uncategorized,Categorical,count/score
f0_m_iron_tab_v1,Uncategorized,Categorical,count/score
f0_m_sys_ex_v1,Uncategorized,Continuous,count/score
f0_m_diag_preg_v1,Uncategorized,Continuous,count/score
f0_m_vomit_v2,Uncategorized,Categorical,count/score
f0_m_diarr_v2,Uncategorized,Categorical,count/score
f0_m_fever_v2,Uncategorized,Categorical,count/score
f0_m_jaun_v2,Uncategorized,Categorical,count/score
f0_m_bleed_per_vag_v2,Uncategorized,Categorical,count/score
f0_m_no_of_epi_v2,Uncategorized,Categorical,count/score
f0_m_othr_hist_v2,Uncategorized,Categorical,count/score
f0_m_curr_med_v2,Uncategorized,Categorical,count/score
f0_m_iron_tab_v2,Uncategorized,Categorical,count/score
f0_m_no_iron_tab_v2,Uncategorized,Categorical,count/score
f0_m_sys_ex_v2,Uncategorized,Categorical,count/score
f0_m_diag_preg_v2,Uncategorized,Categorical,count/score
f0_m_ante_comp,Uncategorized,Categorical,count/score
f0_m_intra_comp,Uncategorized,Categorical,count/score
f0_m_del_mode,Uncategorized,Categorical,count/score
f0_m_del_place,Uncategorized,Categorical,count/score
f0_m_del_atten,Uncategorized,Categorical,count/score
f0_m_del_outcome,Uncategorized,Categorical,count/score
f0_m_pst_prt_comp,Uncategorized,Categorical,count/score
f0_m_a1_sc_v1,Uncategorized,Continuous,count/score
f0_m_a2_sc_v1,Uncategorized,Continuous,count/score
f0_m_a3_sc_v1,Uncategorized,Continuous,count/score
f0_m_a4_sc_v1,Uncategorized,Continuous,count/score
f0_m_b1_sc_v1,Uncategorized,Continuous,count/score
f0_m_b2_sc_v1,Uncategorized,Continuous,count/score
f0_m_b3_sc_v1,Uncategorized,Continuous,count/score
f0_m_b4_sc_v1,Uncategorized,Continuous,count/score
f0_m_b5_sc_v1,Uncategorized,Continuous,count/score
f0_m_b6_sc_v1,Uncategorized,Categorical,count/score
f0_m_b7_sc_v1,Uncategorized,Categorical,count/score
f0_m_c1_sc_v1,Uncategorized,Continuous,count/score
f0_m_c2_sc_v1,Uncategorized,Continuous,count/score
f0_m_c3_sc_v1,Uncategorized,Continuous,count/score
f0_m_c4_sc_v1,Uncategorized,Continuous,count/score
f0_m_c5_sc_v1,Uncategorized,Continuous,count/score
f0_m_c6_sc_v1,Uncategorized,Categorical,count/score
f0_m_d1_sc_v1,Uncategorized,Continuous,count/score
f0_m_d2_sc_v1,Uncategorized,Continuous,count/score
f0_m_d3_sc_v1,Uncategorized,Continuous,count/score
f0_m_d4_sc_v1,Uncategorized,Continuous,count/score
f0_m_d5_sc_v1,Uncategorized,Continuous,count/score
f0_m_d6_sc_v1,Uncategorized,Continuous,count/score
f0_m_d7_sc_v1,Uncategorized,Continuous,count/score
f0_m_d8_sc_v1,Uncategorized,Continuous,count/score
f0_m_d9_sc_v1,Uncategorized,Continuous,count/score
f0_m_d10_sc_v1,Uncategorized,Continuous,count/score
f0_m_d11_sc_v1,Uncategorized,Continuous,count/score
f0_m_d12_sc_v1,Uncategorized,Continuous,count/score
f0_m_d13_sc_v1,Uncategorized,Categorical,count/score
f0_m_d14_sc_v1,Uncategorized,Continuous,count/score
f0_m_d15_sc_v1,Uncategorized,Continuous,count/score
f0_m_d16_sc_v1,Uncategorized,Continuous,count/score
f0_m_d17_sc_v1,Uncategorized,Categorical,count/score
f0_m_e1_sc_v1,Uncategorized,Continuous,count/score
f0_m_e2_sc_v1,Uncategorized,Continuous,count/score
f0_m_e3_sc_v1,Uncategorized,Continuous,count/score
f0_m_e4_sc_v1,Uncategorized,Continuous,count/score
f0_m_e5_sc_v1,Uncategorized,Continuous,count/score
f0_m_e6_sc_v1,Uncategorized,Continuous,count/score
f0_m_e7_sc_v1,Uncategorized,Continuous,count/score
f0_m_e8_sc_v1,Uncategorized,Continuous,count/score
f0_m_e9_sc_v1,Uncategorized,Continuous,count/score
f0_m_e10_sc_v1,Uncategorized,Continuous,count/score
f0_m_e11_sc_v1,Uncategorized,Continuous,count/score
f0_m_e12_sc_v1,Uncategorized,Continuous,count/score
f0_m_e13_sc_v1,Uncategorized,Categorical,count/score
f0_m_e14_sc_v1,Uncategorized,Categorical,count/score
f0_m_f1_sc_v1,Uncategorized,Continuous,count/score
f0_m_f2_sc_v1,Uncategorized,Continuous,count/score
f0_m_f3_sc_v1,Uncategorized,Continuous,count/score
f0_m_f4_sc_v1,Uncategorized,Continuous,count/score
f0_m_f5_sc_v1,Uncategorized,Continuous,count/score
f0_m_f6_sc_v1,Uncategorized,Continuous,count/score
f0_m_f7_sc_v1,Uncategorized,Continuous,count/score
f0_m_f8_sc_v1,Uncategorized,Continuous,count/score
f0_m_f9_sc_v1,Uncategorized,Continuous,count/score
f0_m_f10_sc_v1,Uncategorized,Continuous,count/score
f0_m_f11_sc_v1,Uncategorized,Continuous,count/score
f0_m_f12_sc_v1,Uncategorized,Continuous,count/score
f0_m_f13_sc_v1,Uncategorized,Continuous,count/score
f0_m_f14_sc_v1,Uncategorized,Continuous,count/score
f0_m_f15_sc_v1,Uncategorized,Continuous,count/score
f0_m_f16_sc_v1,Uncategorized,Continuous,count/score
f0_m_f17_sc_v1,Uncategorized,Continuous,count/score
f0_m_f18_sc_v1,Uncategorized,Categorical,count/score
f0_m_f19_sc_v1,Uncategorized,Continuous,count/score
f0_m_f20_sc_v1,Uncategorized,Categorical,count/score
f0_m_f21_sc_v1,Uncategorized,Categorical,count/score
f0_m_f22_sc_v1,Uncategorized,Continuous,count/score
f0_m_g1_sc_v1,Uncategorized,Continuous,count/score
f0_m_g2_sc_v1,Uncategorized,Continuous,count/score
f0_m_g3_sc_v1,Uncategorized,Continuous,count/score
f0_m_g4_sc_v1,Uncategorized,Continuous,count/score
f0_m_g5_sc_v1,Uncategorized,Continuous,count/score
f0_m_g6_sc_v1,Uncategorized,Continuous,count/score
f0_m_g7_sc_v1,Uncategorized,Continuous,count/score
f0_m_g8_sc_v1,Uncategorized,Continuous,count/score
f0_m_g9_sc_v1,Uncategorized,Continuous,count/score
f0_m_g10_sc_v1,Uncategorized,Continuous,count/score
f0_m_g11_sc_v1,Uncategorized,Continuous,count/score
f0_m_g12_sc_v1,Uncategorized,Continuous,count/score
f0_m_g13_sc_v1,Uncategorized,Continuous,count/score
f0_m_g14_sc_v1,Uncategorized,Categorical,count/score
f0_m_h1_sc_v1,Uncategorized,Continuous,count/score
f0_m_h2_sc_v1,Uncategorized,Continuous,count/score
f0_m_h3_sc_v1,Uncategorized,Continuous,count/score
f0_m_h4_sc_v1,Uncategorized,Continuous,count/score
f0_m_h5_sc_v1,Uncategorized,Continuous,count/score
f0_m_h6_sc_v1,Uncategorized,Continuous,count/score
f0_m_h7_sc_v1,Uncategorized,Continuous,count/score
f0_m_h8_sc_v1,Uncategorized,Continuous,count/score
f0_m_h9_sc_v1,Uncategorized,Continuous,count/score
f0_m_h10_sc_v1,Uncategorized,Categorical,count/score
f0_m_i1_sc_v1,Uncategorized,Continuous,count/score
f0_m_i2_sc_v1,Uncategorized,Continuous,count/score
f0_m_i3_sc_v1,Uncategorized,Continuous,count/score
f0_m_i4_sc_v1,Uncategorized,Continuous,count/score
f0_m_i5_sc_v1,Uncategorized,Continuous,count/score
f0_m_i6_sc_v1,Uncategorized,Continuous,count/score
f0_m_i7_sc_v1,Uncategorized,Categorical,count/score
f0_m_i8_sc_v1,Uncategorized,Categorical,count/score
f0_m_i9_sc_v1,Uncategorized,Continuous,count/score
f0_m_i10_sc_v1,Uncategorized,Continuous,count/score
f0_m_i11_sc_v1,Uncategorized,Continuous,count/score
f0_m_j1_sc_v1,Uncategorized,Continuous,count/score
f0_m_j2_sc_v1,Uncategorized,Continuous,count/score
f0_m_j3_sc_v1,Uncategorized,Continuous,count/score
f0_m_j4_sc_v1,Uncategorized,Continuous,count/score
f0_m_j5_sc_v1,Uncategorized,Continuous,count/score
f0_m_j6_sc_v1,Uncategorized,Continuous,count/score
f0_m_j7_sc_v1,Uncategorized,Continuous,count/score
f0_m_j8_sc_v1,Uncategorized,Continuous,count/score
f0_m_j9_sc_v1,Uncategorized,Continuous,count/score
f0_m_j10_sc_v1,Uncategorized,Continuous,count/score
f0_m_j11_sc_v1,Uncategorized,Continuous,count/score
f0_m_j12_sc_v1,Uncategorized,Continuous,count/score
f0_m_j13_sc_v1,Uncategorized,Continuous,count/score
f0_m_j14_sc_v1,Uncategorized,Continuous,count/score
f0_m_j15_sc_v1,Uncategorized,Continuous,count/score
f0_m_j16_sc_v1,Uncategorized,Continuous,count/score
f0_m_j17_sc_v1,Uncategorized,Continuous,count/score
f0_m_j18_sc_v1,Uncategorized,Continuous,count/score
f0_m_j19_sc_v1,Uncategorized,Continuous,count/score
f0_m_j20_sc_v1,Uncategorized,Continuous,count/score
f0_m_j21_sc_v1,Uncategorized,Continuous,count/score
f0_m_j22_sc_v1,Uncategorized,Continuous,count/score
f0_m_j23_sc_v1,Uncategorized,Continuous,count/score
f0_m_j24_sc_v1,Uncategorized,Continuous,count/score
f0_m_j25_sc_v1,Uncategorized,Continuous,count/score
f0_m_j26_sc_v1,Uncategorized,Continuous,count/score
f0_m_j27_sc_v1,Uncategorized,Categorical,count/score
f0_m_j28_sc_v1,Uncategorized,Continuous,count/score
f0_m_j29_sc_v1,Uncategorized,Continuous,count/score
f0_m_j30_sc_v1,Uncategorized,Continuous,count/score
f0_m_j31_sc_v1,Uncategorized,Continuous,count/score
f0_m_j32_sc_v1,Uncategorized,Continuous,count/score
f0_m_j33_sc_v1,Uncategorized,Continuous,count/score
f0_m_k1_sc_v1,Uncategorized,Continuous,count/score
f0_m_k2_sc_v1,Uncategorized,Continuous,count/score
f0_m_k3_sc_v1,Uncategorized,Continuous,count/score
f0_m_k4_sc_v1,Uncategorized,Continuous,count/score
f0_m_k5_sc_v1,Uncategorized,Continuous,count/score
f0_m_k6_sc_v1,Uncategorized,Categorical,count/score
f0_m_l1_sc_v1,Uncategorized,Continuous,count/score
f0_m_l2_sc_v1,Uncategorized,Continuous,count/score
f0_m_l3_sc_v1,Uncategorized,Continuous,count/score
f0_m_l4_sc_v1,Uncategorized,Continuous,count/score
f0_m_l5_sc_v1,Uncategorized,Continuous,count/score
f0_m_l6_sc_v1,Uncategorized,Continuous,count/score
f0_m_m1_sc_v1,Uncategorized,Continuous,count/score
f0_m_m2_sc_v1,Uncategorized,Continuous,count/score
f0_m_m3_sc_v1,Uncategorized,Continuous,count/score
f0_m_m4_sc_v1,Uncategorized,Continuous,count/score
f0_m_m5_sc_v1,Uncategorized,Continuous,count/score
f0_m_m6_sc_v1,Uncategorized,Continuous,count/score
f0_m_m7_sc_v1,Uncategorized,Continuous,count/score
f0_m_m8_sc_v1,Uncategorized,Continuous,count/score
f0_m_m9_sc_v1,Uncategorized,Continuous,count/score
f0_m_n1_sc_v1,Uncategorized,Continuous,count/score
f0_m_n2_sc_v1,Uncategorized,Continuous,count/score
f0_m_n3_sc_v1,Uncategorized,Continuous,count/score
f0_m_n4_sc_v1,Uncategorized,Continuous,count/score
f0_m_n5_sc_v1,Uncategorized,Continuous,count/score
f0_m_n6_sc_v1,Uncategorized,Continuous,count/score
f0_m_n7_sc_v1,Uncategorized,Continuous,count/score
f0_m_n8_sc_v1,Uncategorized,Continuous,count/score
f0_m_n9_sc_v1,Uncategorized,Categorical,count/score
f0_m_n10_sc_v1,Uncategorized,Continuous,count/score
f0_m_n11_sc_v1,Uncategorized,Continuous,count/score
f0_m_n12_sc_v1,Uncategorized,Continuous,count/score
f0_m_n13_sc_v1,Uncategorized,Continuous,count/score
f0_m_n14_sc_v1,Uncategorized,Categorical,count/score
f0_m_n15_sc_v1,Uncategorized,Continuous,count/score
f0_m_n16_sc_v1,Uncategorized,Categorical,count/score
f0_m_n17_sc_v1,Uncategorized,Continuous,count/score
f0_m_n18_sc_v1,Uncategorized,Continuous,count/score
f0_m_n19_sc_v1,Uncategorized,Continuous,count/score
f0_m_n20_sc_v1,Uncategorized,Continuous,count/score
f0_m_o1_sc_v1,Uncategorized,Continuous,count/score
f0_m_o2_sc_v1,Uncategorized,Continuous,count/score
f0_m_o3_sc_v1,Uncategorized,Continuous,count/score
f0_m_o4_sc_v1,Uncategorized,Continuous,count/score
f0_m_o5_sc_v1,Uncategorized,Continuous,count/score
f0_m_o6_sc_v1,Uncategorized,Continuous,count/score
f0_m_o7_sc_v1,Uncategorized,Continuous,count/score
f0_m_o8_sc_v1,Uncategorized,Continuous,count/score
f0_m_o9_sc_v1,Uncategorized,Continuous,count/score
f0_m_o10_sc_v1,Uncategorized,Continuous,count/score
f0_m_o11_sc_v1,Uncategorized,Categorical,count/score
f0_m_p1_sc_v1,Uncategorized,Continuous,count/score
f0_m_p2_sc_v1,Uncategorized,Continuous,count/score
f0_m_p3_sc_v1,Uncategorized,Continuous,count/score
f0_m_p4_sc_v1,Uncategorized,Continuous,count/score
f0_m_p5_sc_v1,Uncategorized,Continuous,count/score
f0_m_p6_sc_v1,Uncategorized,Continuous,count/score
f0_m_p7_sc_v1,Uncategorized,Continuous,count/score
f0_m_p8_sc_v1,Uncategorized,Continuous,count/score
f0_m_p9_sc_v1,Uncategorized,Continuous,count/score
f0_m_p10_sc_v1,Uncategorized,Continuous,count/score
f0_m_p11_sc_v1,Uncategorized,Continuous,count/score
f0_m_p12_sc_v1,Uncategorized,Continuous,count/score
f0_m_p13_sc_v1,Uncategorized,Continuous,count/score
f0_m_p14_sc_v1,Uncategorized,Continuous,count/score
f0_m_q1_sc_v1,Uncategorized,Continuous,count/score
f0_m_q2_sc_v1,Uncategorized,Continuous,count/score
f0_m_q3_sc_v1,Uncategorized,Continuous,count/score
f0_m_q4_sc_v1,Uncategorized,Continuous,count/score
f0_m_q5_sc_v1,Uncategorized,Continuous,count/score
f0_m_q6_sc_v1,Uncategorized,Continuous,count/score
f0_m_q7_sc_v1,Uncategorized,Continuous,count/score
