feature,mean_abs_shap,mean_shap,std_shap,abs_mean_ratio,rank,importance_pct,cumulative_importance_pct
f0_m_plac_wt,123.829666,1.5552943,149.0425,79.61816,1,31.669935,31.669935
f0_m_GA_Del,102.171524,-6.483865,138.21324,15.7578125,2,26.130781,57.800716
gestational_health_index,56.916237,-0.24892487,63.47357,228.64825,3,14.556557,72.35727
f0_m_abd_cir_v2,25.58052,-0.7678381,29.859785,33.31499,4,6.542321,78.89959
f0_m_rcf_v2,19.542297,1.105072,22.100212,17.684185,5,4.9980216,83.89761
bmi_age_interaction,9.417214,-0.17222573,11.546663,54.679485,6,2.4084904,86.30611
wt_ht_interaction,8.978415,-0.83814573,11.031895,10.712235,7,2.2962658,88.60237
f0_m_wt_prepreg_squared,7.9660387,0.13210149,8.745831,60.302414,8,2.0373466,90.63972
nutritional_status,6.4762974,-0.7677002,8.532699,8.435972,9,1.6563392,92.29606
f0_m_bi_v1,6.329164,0.023128692,9.242454,273.6499,10,1.6187092,93.914764
f0_m_fundal_ht_v2,6.3181477,-1.1757772,7.1685405,5.3735924,11,1.6158918,95.530655
f0_m_ht,6.1749997,0.25367057,8.156889,24.342594,12,1.5792811,97.10994
f0_m_int_sin_ma,4.3364873,0.48847777,7.342886,8.877553,13,1.1090741,98.21902
f0_m_age,4.0964293,-0.17734723,4.57828,23.098356,14,1.0476784,99.26669
bmi_age_ratio,2.8672454,-0.18358904,3.7645555,15.617738,15,0.7333096,100.0
