feature,importance
f0_m_GA_Del,0.1929780880945017
f0_m_plac_wt,0.1871771010382238
f0_m_fundal_ht_v2,0.06737384078878639
f0_m_abd_cir_v2,0.06462174055174956
f0_m_rcf_v2,0.04527857516651914
f0_m_wt_v2,0.04338730808345584
f0_m_glu_f_v2,0.03749185279919591
f0_m_p_sc_v1,0.03629242938998512
f0_m_pulse_r1_v2,0.03471912746700906
f0_m_wt_prepreg,0.03434767781055016
f0_m_pulse_r2_v2,0.03406891335537347
f0_m_g_sc_v1,0.033808337903091706
f0_f_head_cir_ini,0.03137357177478981
f0_f_plt_ini,0.031175975692520345
f0_m_lunch_cal_v1,0.028822509573497523
f0_m_r4_v2,0.026141016531034747
f0_m_o_sc_v1,0.02576508768576629
f0_m_age_eld_child,0.025545741764912817
f0_m_parity_v1,0.013213853598284094
f1_sex,0.006417250930752473
