feature,importance,importance_pct
f0_m_abd_cir_v2,0.10995138,10.995138
f0_m_rcf_v2,0.09100567,9.100568
f0_m_r4_v2,0.08582005,8.5820055
f0_m_o_sc_v1,0.073979266,7.3979273
f0_m_glu_f_v2,0.068717696,6.8717704
f0_f_plt_ini,0.06618411,6.618412
f0_f_head_cir_ini,0.061616577,6.1616583
f0_m_age_eld_child,0.061059408,6.1059413
f0_m_fundal_ht_v2,0.060679294,6.0679297
f0_m_pulse_r2_v2,0.05504926,5.504926
f0_m_wt_v2,0.050872006,5.087201
f0_m_p_sc_v1,0.050425958,5.0425963
f0_m_pulse_r1_v2,0.030826492,3.0826495
f1_sex,0.03023515,3.0235152
f0_m_wt_prepreg,0.030054675,3.0054677
f0_m_lunch_cal_v1,0.027313884,2.7313886
f0_m_g_sc_v1,0.02497269,2.4972692
f0_m_parity_v1,0.021236422,2.1236424
