feature,importance,importance_pct
f0_m_GA_Del,0.16271116,16.271118
f0_m_plac_wt,0.15535304,15.535305
f0_m_fundal_ht_v2,0.06752861,6.752862
f0_m_abd_cir_v2,0.058803298,5.8803306
f0_m_wt_v2,0.045645922,4.564593
f1_sex,0.043713532,4.3713536
f0_m_p_sc_v1,0.038268734,3.8268738
f0_m_glu_f_v2,0.037297435,3.729744
f0_m_parity_v1,0.036893625,3.6893628
f0_m_rcf_v2,0.035340287,3.534029
f0_m_pulse_r2_v2,0.035280816,3.528082
f0_m_o_sc_v1,0.035042576,3.504258
f0_f_plt_ini,0.03385369,3.3853695
f0_f_head_cir_ini,0.03330872,3.3308723
f0_m_pulse_r1_v2,0.033188716,3.318872
f0_m_wt_prepreg,0.030921599,3.0921602
f0_m_r4_v2,0.03053976,3.0539763
f0_m_g_sc_v1,0.03031923,3.0319235
f0_m_age_eld_child,0.02844918,2.8449183
f0_m_lunch_cal_v1,0.027539993,2.7539997
