max_iter,tol,regularization,validation_rmse
50,0.0001,1e-06,253.50125465440019
50,0.0001,1e-05,253.5009819557287
50,0.0001,0.0001,253.4982957539303
50,1e-05,1e-06,253.50125465440019
50,1e-05,1e-05,253.5009819557287
50,1e-05,0.0001,253.4982957539303
50,1e-06,1e-06,253.50125465440019
50,1e-06,1e-05,253.5009819557287
50,1e-06,0.0001,253.4982957539303
100,0.0001,1e-06,253.50125465440019
100,0.0001,1e-05,253.5009819557287
100,0.0001,0.0001,253.4982957539303
100,1e-05,1e-06,253.50125465440019
100,1e-05,1e-05,253.5009819557287
100,1e-05,0.0001,253.4982957539303
100,1e-06,1e-06,253.50125465440019
100,1e-06,1e-05,253.5009819557287
100,1e-06,0.0001,253.4982957539303
150,0.0001,1e-06,253.50125465440019
150,0.0001,1e-05,253.5009819557287
150,0.0001,0.0001,253.4982957539303
150,1e-05,1e-06,253.50125465440019
150,1e-05,1e-05,253.5009819557287
150,1e-05,0.0001,253.4982957539303
150,1e-06,1e-06,253.50125465440019
150,1e-06,1e-05,253.5009819557287
150,1e-06,0.0001,253.4982957539303
