feature,importance
f0_m_plac_wt,0.29372564209503965
f0_m_GA_Del,0.28438073811929404
f0_m_fundal_ht_v2,0.05352382536745423
f0_m_abd_cir_v2,0.03424271920131246
f0_m_rcf_v2,0.034050153066868837
f0_f_wt_ini,0.02987907997540548
f0_m_g_sc_v2,0.027974570992585886
f0_m_waist_circ_v2,0.025897664616351155
f0_m_ht,0.02292263182640857
f0_m_bmi_6yr,0.02081174706592654
f0_m_wt_v2,0.01696125132724608
f0_m_snacks_sc_v1,0.016955771927358025
f0_m_bmi_v2,0.01693961089316537
f0_m_hip_circ_v2,0.01616399199740053
f0_m_n_sc_v1,0.014494943086071245
f0_m_o_sc_v1,0.01441803694172089
f0_m_wt_prepreg,0.014248548100068729
f0_m_age,0.014112302070813924
f0_m_glv_sc_v,0.013412725549053097
f0_m_m2_sc_v1,0.008023510637298397
f0_m_d1_sc_v1,0.0073162891644339
f0_m_f10_sc_v1,0.006817555980310489
f0_m_j8_sc_v1,0.005041400617330112
f0_m_g1_sc_v2,0.0045395195929270275
f0_m_p10_sc_v1,0.003145769788155431
