feature,importance
f0_m_plac_wt,0.14516197
f0_m_GA_Del,0.12299739
f0_m_fundal_ht_v2,0.055025063
f0_m_m2_sc_v1,0.051551193
f0_m_glv_sc_v,0.045785412
f0_m_o_sc_v1,0.040693074
f0_m_g_sc_v2,0.037977926
f0_m_rcf_v2,0.036794696
f0_m_d1_sc_v1,0.036775272
f0_m_f10_sc_v1,0.03674105
f0_m_abd_cir_v2,0.0367317
f0_m_ht,0.03586276
f0_m_waist_circ_v2,0.031263668
f0_m_bmi_v2,0.03029191
f0_m_age,0.028673578
f0_m_bmi_6yr,0.028406998
f0_f_wt_ini,0.02800444
f0_m_wt_v2,0.025842236
f0_m_wt_prepreg,0.0248477
f0_m_n_sc_v1,0.024625203
f0_m_j8_sc_v1,0.023186168
f0_m_g1_sc_v2,0.022371594
f0_m_snacks_sc_v1,0.021239791
f0_m_hip_circ_v2,0.020896683
f0_m_p10_sc_v1,0.008252549
