feature,importance
f0_m_GA_Del,0.15604503
f0_m_plac_wt,0.11877653
f0_m_abd_cir_v2,0.071253166
f0_m_glv_sc_v,0.058965348
f0_m_fundal_ht_v2,0.055604823
f0_m_age,0.043144777
f0_m_ht,0.03926527
f0_m_o_sc_v1,0.03913781
f0_m_wt_v2,0.038932264
f0_m_f10_sc_v1,0.035849303
f0_m_g_sc_v2,0.034908038
f0_m_rcf_v2,0.032121226
f0_f_wt_ini,0.028908256
f0_m_waist_circ_v2,0.027876679
f0_m_snacks_sc_v1,0.026476318
f0_m_m2_sc_v1,0.024847802
f0_m_d1_sc_v1,0.024024459
f0_m_bmi_v2,0.023519715
f0_m_hip_circ_v2,0.02228473
f0_m_bmi_6yr,0.021879666
f0_m_n_sc_v1,0.02097193
f0_m_g1_sc_v2,0.020329935
f0_m_wt_prepreg,0.01804051
f0_m_j8_sc_v1,0.016836364
f0_m_p10_sc_v1,0.0
