feature,mean_abs_shap_value
f0_m_plac_wt,130.09668
f0_m_GA_Del,114.49036
f0_m_fundal_ht_v2,46.223946
f0_m_abd_cir_v2,34.39161
f0_f_plt_ini,13.892493
f0_m_glu_f_v2,9.099963
f0_m_rcf_v2,8.676889
f0_m_pulse_r1_v2,8.317697
f0_m_age_eld_child,7.1386943
f0_m_g_sc_v2,7.077924
f0_m_pulse_r2_v2,6.6252704
f0_m_wbc_v1,6.0551825
f0_m_p_sc_v1,6.0502195
f0_m_abd_cir_v1,6.0257077
f0_f_ferr_ini,5.569042
f0_m_o_sc_v1,5.547321
f0_m_sys_bp_r1_v1,5.4435606
f0_m_lunch_cal_v1,5.2322044
f0_m_wt_prepreg,5.1821723
f0_f_wt_ini,5.1171536
f0_m_wt_v2,4.9841495
f0_m_bi_v1,4.9425774
f0_f_head_cir_ini,4.884555
f0_m_ch_sc_v2,4.373536
f0_m_r4_v2,4.106269
f0_m_cal_bev_v1,3.6825588
f0_m_i6_sc_v1,3.582339
f0_m_p4_sc_v2,3.579859
f0_m_e_sc_v2,3.5583403
f0_m_h8_sc_v1,3.1566463
f0_m_l_sc_v2,3.1350381
f0_m_fnot6_9_v2,3.1071458
f0_f_ly_perc_ini,3.1050396
row_index.1,3.0966868
f0_m_snacks_sc_v1,2.9452214
f0_m_glv_sc_v,2.9421117
f0_m_parity_v1,2.777658
f0_m_plt_v1,2.765907
f0_m_lunch_fat_v2,2.6854403
f0_m_hb_v1,2.6680655
f0_m_l_sc_v1,2.599523
f0_m_f11_sc_v2,2.5801067
f0_m_bmi_v1,2.5385413
f0_socio_eco_sc,2.5342875
f0_m_fat_ch_v2,2.5305445
f0_m_bmi_6yr,2.525972
f0_m_glu_f_v1,2.5089452
f0_m_wt_v1,2.440412
f0_m_fer_v2,2.4322612
f0_m_g_sc_v1,2.4210052
f0_m_ht,2.400414
f0_m_f10_sc_v1,2.3671927
f0_m_hip_prepreg,2.3482745
f0_m_brk_fst_fat_v1,2.3439453
f0_f_pfol_ini,2.3410614
f0_m_d_sc_v1,2.2890582
f0_f_ly_no_ini,2.2771277
f0_m_calcarb_v1,2.2655163
f0_m_l1_sc_v1,2.2291036
f0_m_j3_sc_v2,2.2124703
f0_m_dinner_cal_v1,2.1948614
f0_m_d3_sc_v1,2.173117
f0_m_waist_circ_v2,2.169246
f0_m_citrus_sc_v1,1.9936794
f0_m_e_sc_v1,1.9672118
f0_m_spicy_rice_sc_v2,1.9488572
f0_f_ht_ini,1.9487795
f0_m_pro_fru_v2,1.914622
f0_m_waist_circ_v1,1.9006937
f0_m_s1_v2,1.8732227
f0_m_su_v1,1.8596519
f0_f_rbc_ini,1.8350389
f0_m_ly_perc_v2,1.788151
f0_m_ss_v1,1.7827196
f0_m_p_sc_v2,1.7715558
f0_m_m2_sc_v1,1.7668252
f0_m_cal_ch_v2,1.7638302
f0_m_mid_arm_circ_v2,1.7225404
f0_m_h2_sc_v2,1.6845105
f0_m_pulse_r1_v1,1.6626102
f0_m_hb_v2,1.6380225
f0_m_fat_fru_v2,1.6205472
f0_m_fnot6_9_v1,1.5954602
f0_f_bmi_ini,1.5932378
f0_m_pro_fes_v1,1.5600481
f0_m_d3_sc_v2,1.5588536
f0_m_pro_pul_v1,1.5560161
f0_m_f_sc_v2,1.5479386
f0_m_a_sc_v1,1.5373487
f0_m_pro_bev_v2,1.5349768
f0_m_j7_sc_v2,1.5178806
f0_m_sys_bp_r2_v1,1.5177482
f0_m_rbc_v2,1.5106002
f0_m_j_sc_v2,1.4960483
f0_m_fat_glv_v2,1.4686221
f0_m_f_sc_v1,1.458817
f0_m_hip_circ_v1,1.4330958
f0_m_fer_v1,1.4305484
f0_m_rbc_v1,1.4265152
f0_m_iron_ch_v2,1.4261489
f0_m_i2_sc_v2,1.4096034
f0_m_waist_prepreg,1.4074827
f0_m_h_sc_v2,1.3765526
f0_m_cal_pul_v2,1.3756659
f0_m_b12_v1,1.3523327
f0_m_spicy_rice_sc_v1,1.3352265
f0_m_n4_n5_n6_sc_v1,1.3329836
f0_m_dinner_fat_v1,1.3255953
f0_m_j3_sc_v1,1.2922592
f0_m_c2_sc_v2,1.2724541
f0_m_s3_v1,1.2641741
f0_m_sys_bp_r2_v2,1.2510346
f0_m_calpro_v2,1.2251567
f0_m_lunch_fat_v1,1.2241367
f0_m_totiron_v1,1.2169241
f0_m_p6_sc_v1,1.2069114
f0_m_totfat_v1,1.2033626
f0_m_totcal_v2,1.1938553
f0_f_wbc_ini,1.1841241
f0_m_mid_arm_circ_v1,1.1765182
f0_m_dinner_pro_v1,1.1491889
f0_m_d_sc_v2,1.1483265
f0_m_hct_v1,1.1449203
f0_m_iron_fve_v1,1.1403775
f0_m_k3_sc_v1,1.1392837
f0_m_bmi_prepreg,1.1372455
f0_m_ss_prepreg,1.1323284
f0_m_rotis_fat_v1,1.1306273
f0_m_fat_fveg_v2,1.1258938
f0_m_b4_sc_v2,1.1250815
f0_m_totfat_v2,1.1149254
f0_m_int_sin_ma,1.0962191
f0_m_j14_sc_v2,1.093069
f0_m_cal_cer_v1,1.086962
f0_m_wbc_v2,1.0846146
f0_m_plt_v2,1.0740217
f0_m_j17_sc_v1,1.0739614
f0_m_lunch_iron_v1,1.0737523
f0_m_GA_V1,1.0736252
f0_m_rotis_iron_v2,1.0674208
f0_m_r8_v2,1.064093
f0_m_dinner_fat_v2,1.0489194
f0_m_i_sc_v2,1.0473133
f0_m_calcarb_v2,1.0418422
f0_m_brk_fst_fat_v2,1.0402635
f0_m_int_men_marr,1.0309895
f0_f_hct_ini,1.0242286
f0_m_e5_sc_v2,1.0172507
f0_m_dal_sc_v2,1.0169567
f0_m_brk_fst_iron_v1,1.0158516
f0_m_j28_sc_v1,1.0130249
f0_m_f6_f9_sc_v2,1.0093111
f0_m_pulse_r2_v1,1.004442
f0_m_GA_V2,0.99802285
f0_m_iron_fes_v1,0.99450827
f0_m_gravida_v1,0.98506576
f0_m_j18_sc_v2,0.982762
f0_m_lunch_cal_v2,0.98161393
f0_m_n_sc_v2,0.97493684
f0_m_calfat_v2,0.97266096
f0_m_dal_sc_v1,0.9700165
f0_m_e5_sc_v1,0.9698219
f0_m_c3_sc_v2,0.9662389
f0_m_totcarb_v2,0.95800215
f0_f_hip_cir_ini,0.95398563
f0_m_age,0.9453104
f0_m_o2_sc_v1,0.93634534
f0_m_n1_v2_n3_sc_v2,0.92806584
f0_m_d2_sc_v2,0.92700946
f0_m_cal_pul_v1,0.9253379
f0_m_q_sc_v1,0.91957027
f0_f_vitB12_ini,0.91763836
f0_m_liv_female_v1,0.9168056
f0_m_citrus_sc_v2,0.9152694
f0_m_bmi_v2,0.9085697
f0_m_e8_sc_v1,0.9074499
f0_m_rcf_v1,0.90569395
f0_m_b12_v2,0.90446675
f0_m_q_sc_v2,0.9042533
f0_m_fat_fveg_v1,0.89774203
f0_m_su_prepreg,0.89387447
f0_m_hip_circ_v2,0.89312446
f0_m_calfat_v1,0.8885238
f0_m_cal_bev_v2,0.8855339
f0_m_lunch_pro_v1,0.880653
f0_m_j2_sc_v1,0.879483
f0_m_iron_pul_v2,0.8782672
f0_m_calpro_v1,0.87647235
f0_m_q8_sc_v1,0.8680577
f0_m_bakery_pr_sc_v1,0.86625737
f0_m_rotis_cal_v1,0.8652106
f0_m_k_sc_v1,0.8638216
f0_m_s1_v1,0.8601816
f0_m_k_sc_v2,0.8576853
f0_m_dia_bp_r2_v1,0.85495514
f0_m_ly_no_v2,0.84097713
f0_m_sys_bp_r1_v2,0.84067917
f0_m_cal_fes_v1,0.8369822
f0_m_fat_dairy_prod_v2,0.8226743
f0_m_f11_sc_v1,0.8174281
f0_m_b_sc_v1,0.81601894
f0_m_i10_sc_v2,0.81512105
f0_m_g6_sc_v1,0.81280786
f0_m_brk_fst_iron_v2,0.81180394
f0_m_o4_sc_v2,0.80457556
f0_m_dinner_cal_v2,0.78987813
f0_m_brk_fst_cal_v1,0.7876807
f0_m_l5_sc_v2,0.7871213
f0_m_f6_f9_sc_v1,0.7775258
f0_m_ly_perc_v1,0.7763629
f0_m_j13_sc_v2,0.77614164
f0_m_m1_sc_v1,0.77498245
f0_m_a_sc_v2,0.77438563
f0_m_pro_ch_v2,0.7682915
f0_m_dinner_iron_v1,0.76660013
f0_m_su_v2,0.764412
f0_m_j6_sc_v1,0.76285034
f0_m_iron_cer_v1,0.75297093
f0_m_g1_sc_v1,0.752268
f0_m_pro_ch_v1,0.7446317
f0_m_glv_sc_v2,0.73905766
f0_f_hb_ini,0.73875594
f0_m_dinner_pro_v2,0.73606026
f0_f_glu_f_ini,0.72433585
f0_m_m4_sc_v2,0.7214731
f0_m_r5_v2,0.7206762
f0_m_f0_m_fundal_ht_v1,0.71930385
f0_m_bi_v2,0.71745014
f0_m_pro_pul_v2,0.71090263
f0_m_tr_v1,0.7009773
f0_m_fat_cer_v2,0.6961883
f0_m_f7_sc_v1,0.69507414
f0_m_d4_sc_v2,0.6943988
f0_m_rotis_fat_v2,0.68545204
f0_m_fat_pul_v2,0.67923355
f0_m_ss_v2,0.6782046
f0_m_j_sc_v1,0.6781727
f0_m_cal_dairy_prod_v2,0.67123485
f0_m_g11_sc_v2,0.66975224
f0_m_r4_v1,0.6654357
f0_m_b3_sc_v1,0.66480553
f0_m_f14_sc_v1,0.66421276
f0_m_g2_sc_v2,0.6639331
