feature,importance
f0_m_plac_wt,0.054326802
f0_m_GA_Del,0.043756317
f0_m_q6_sc_v1,0.02189513
f0_m_fundal_ht_v2,0.014368234
f0_m_abd_cir_v2,0.013129491
f0_m_g12_sc_v2,0.012363653
f0_m_m2_sc_v1,0.012033598
f0_m_j28_sc_v1,0.0109093245
f0_m_fat_glv_v2,0.009738455
f0_m_c2_sc_v2,0.009463789
f0_m_l1_sc_v1,0.009408119
f0_m_j18_sc_v2,0.008441223
f0_m_j4_sc_v2,0.00837646
f0_m_i6_sc_v2,0.0072960625
f0_m_pro_bev_v2,0.0071308874
f0_m_n5_sc_v1,0.006642263
f0_m_l3_sc_v2,0.0064969864
f0_m_k2_sc_v2,0.0062892404
f0_m_p4_sc_v2,0.006274158
f0_m_parity_v1,0.0062629995
f0_m_s1_v2,0.006104009
f0_m_i2_sc_v2,0.0060949787
f0_m_i6_sc_v1,0.0058193146
f0_m_p_sc_v1,0.005769786
f0_m_pro_glv_v2,0.005464677
f0_m_d15_sc_v2,0.0054535475
f0_m_j3_sc_v2,0.0054161595
f0_m_p9_sc_v2,0.00541587
f0_m_age_eld_child,0.0053860242
f0_m_f11_sc_v2,0.0052948804
f0_m_i5_sc_v1,0.005243953
f0_m_j7_sc_v2,0.0051859575
f0_m_wt_v2,0.0051250667
f0_m_g_sc_v2,0.005036454
f0_m_sys_bp_r1_v1,0.0050230697
f0_m_l_sc_v2,0.004885192
f0_m_rcf_v2,0.004633122
f0_m_p4_sc_v1,0.004508726
f0_m_g11_sc_v2,0.0044764318
f0_m_n2_sc_v2,0.004385477
f0_m_o9_sc_v1,0.0043730517
f0_m_h2_sc_v2,0.004365892
f0_m_pro_ch_v1,0.004322983
f0_m_abd_cir_v1,0.0042937365
f0_m_l5_sc_v2,0.0041918196
f0_m_glu_f_v2,0.004173235
f0_m_d14_sc_v2,0.004128536
f0_m_cal_fes_v1,0.003952115
f0_m_j22_sc_v2,0.003898992
f0_m_q2_sc_v1,0.003877038
f0_m_no_tm_stp_con_v2,0.003803841
f0_m_j14_sc_v2,0.0037665416
f0_m_d2_sc_v2,0.0037142243
f0_m_pro_fes_v1,0.0037068734
f0_m_liv_female_v1,0.003637608
f0_m_p6_sc_v1,0.0035927969
f0_m_calcarb_v1,0.003573258
f0_m_cal_fes_v2,0.0035469944
f0_m_waist_circ_v2,0.0035103285
f0_m_rotis_cal_v1,0.003472861
f0_m_o_sc_v1,0.0034413645
f0_m_h8_sc_v1,0.0034152751
f0_m_j11_sc_v1,0.0034114365
f0_m_iron_glv_v1,0.0034043598
f0_m_cal_pul_v2,0.0033736997
f0_m_q7_sc_v1,0.003302185
f0_m_bmi_6yr,0.0032845119
f0_m_r4_v2,0.0032746533
f0_m_cal_bev_v1,0.003252413
f0_m_glv_con_sc_v1,0.0032061976
f0_f_plt_ini,0.0031796389
f0_m_k4_sc_v2,0.0031428381
f0_m_j28_sc_v2,0.0031213928
f0_m_n5_sc_v2,0.003098277
f0_m_g4_sc_v1,0.003034757
f0_m_p12_sc_v2,0.0030005171
f0_m_k3_sc_v1,0.0029508888
f0_m_h7_sc_v2,0.002946887
f0_m_pulse_r2_v2,0.002903524
f0_m_snacks_sc_v1,0.0028943107
f0_m_f19_sc_v2,0.0028582728
f0_m_d3_sc_v2,0.0028383613
f0_m_h4_sc_v2,0.0028125446
f0_m_dinner_cal_v1,0.0027077177
f0_m_a_sc_v1,0.0026925677
f0_m_j3_sc_v1,0.002642592
f0_m_a1_sc_v1,0.0026405316
f0_m_rotis_cal_v2,0.0026215117
f0_m_m4_sc_v2,0.0026111582
f0_m_gravida_v1,0.0025934237
f0_m_brk_fst_fat_v1,0.0025565198
f0_m_f7_sc_v1,0.002536198
f0_m_q8_sc_v1,0.002513291
f0_m_glv_sc_v2,0.00249488
f0_m_j16_sc_v2,0.002481778
f0_m_n18_sc_v2,0.0024726626
f0_m_pro_fru_v1,0.0024438319
f0_m_p_sc_v2,0.0024314644
f0_m_b5_sc_v2,0.0024306413
f0_m_wt_prepreg,0.0024300586
f0_m_r5_v1,0.0024033447
f0_m_i9_sc_v2,0.0023993286
f0_m_j33_sc_v1,0.0023683198
f0_m_l2_sc_v1,0.0023100001
f0_m_iron_fes_v2,0.0022975558
f0_m_j15_sc_v1,0.0022971642
f0_m_f10_sc_v2,0.0022801387
f0_m_int_sin_ma,0.0022449107
f0_m_pro_pul_v1,0.0022388226
f0_m_r8_v2,0.002228843
f0_m_n3_sc_v2,0.0022257317
f0_m_g6_sc_v2,0.0022100718
f0_m_f4_sc_v2,0.0021991865
f0_m_ch_sc_v2,0.0021964277
f0_m_g3_sc_v1,0.0021942388
f0_m_p3_sc_v2,0.0021830003
f0_m_glu_f_v1,0.0021707795
f0_m_g_sc_v1,0.0021649844
f0_m_f13_sc_v1,0.0021417278
